Wall time,Step,Value
1652826802.1260717,1,16.478008270263672
1652826823.487501,2,20.4637508392334
1652826847.6958287,3,23.07120704650879
1652826865.5331886,4,16.080181121826172
1652826887.4704773,5,20.772987365722656
1652826903.4751332,6,14.89071273803711
1652826917.976976,7,13.523119926452637
1652826941.37764,8,22.372608184814453
1652826962.9183521,9,20.31963348388672
1652826976.8704193,10,12.80679988861084
1652826992.767183,11,14.900066375732422
1652827010.6804292,12,16.90151023864746
1652827027.369954,13,15.274954795837402
1652827045.0809479,14,16.709331512451172
1652827061.1402094,15,14.74777603149414
