Wall time,Step,Value
1652911005.1395128,1,92.16680145263672
1652911131.7237942,2,123.71483612060547
1652911258.6342902,3,124.0384750366211
1652911385.2338362,4,123.7166519165039
1652911511.6842422,5,123.57938385009766
1652911632.9450228,6,118.37492370605469
1652911755.6183195,7,119.72477722167969
1652911879.1793652,8,120.6280517578125
1652912001.578302,9,119.47359466552734
1652912124.6279101,10,120.0961685180664
1652912247.3519433,11,119.62532806396484
1652912370.947149,12,120.61869812011719
1652912494.1727073,13,120.2579574584961
1652912617.00489,14,119.86111450195312
1652912739.2320328,15,119.24812316894531
