Wall time,Step,Value
1652887698.4731963,1,79.63703155517578
1652887817.1243765,2,115.54019165039062
1652887916.4019172,3,95.7970962524414
1652887999.1623673,4,80.44186401367188
1652888244.4093711,5,240.4622802734375
1652888361.2077591,6,111.94493865966797
1652888441.574956,7,77.28910827636719
1652888520.1422246,8,76.43077087402344
1652888603.3406959,9,81.07249450683594
1652888682.9913423,10,77.54926300048828
1652888878.3612804,11,192.7784881591797
1652888955.7315254,12,74.57527160644531
1652889032.3419194,13,74.48014068603516
1652889111.2476912,14,76.73749542236328
1652889199.5888345,15,85.32881164550781
