Wall time,Step,Value
1652840343.354722,1,0.009166959673166275
1652840574.6696143,2,0.010833919048309326
1652840860.6566446,3,0.012500878423452377
1652841129.0842025,4,0.014167837798595428
1652841402.3912318,5,0.014165202155709267
1652841656.5730677,6,0.012498242780566216
1652841892.4879026,7,0.010831283405423164
1652842111.850181,8,0.009164324030280113
1652842335.0746899,9,0.007498518098145723
1652842565.3985827,10,0.006561141461133957
1652842793.6095674,11,0.0056237648241221905
1652843037.3284178,12,0.004686388652771711
1652843265.9526231,13,0.003749012015759945
1652843491.0121124,14,0.0028116353787481785
1652843709.7948496,15,0.0018742589745670557
