Wall time,Step,Value
1652844508.3316033,1,0.0061113061383366585
1652844627.8153903,2,0.007222612854093313
1652844759.1221404,3,0.008333918638527393
1652844893.38562,4,0.00944522488862276
1652845023.1654618,5,0.009443468414247036
1652845157.343836,6,0.008332162164151669
1652845285.1953804,7,0.007220855448395014
1652845418.2247765,8,0.006109549198299646
1652845547.1989117,9,0.004999012220650911
1652845669.597415,10,0.004374094307422638
1652845810.4877179,11,0.003749176627025008
1652845938.4910038,12,0.0031242589466273785
1652846068.4608603,13,0.0024993412662297487
1652846164.841118,14,0.0018744237022474408
1652846288.858779,15,0.001249506021849811
