Wall time,Step,Value
1652911005.139424,1,0.0020834796596318483
1652911131.7237117,2,0.0029169595800340176
1652911258.6341927,3,0.003750439267605543
1652911385.2337482,4,0.004583918955177069
1652911511.6841564,5,0.004582601133733988
1652911632.9449327,6,0.0037491214461624622
1652911755.618237,7,0.0029156417585909367
1652911879.1792583,8,0.002082162071019411
1652912001.578216,9,0.0012497365241870284
1652912124.6278243,10,0.0010830918326973915
1652912247.35181,11,0.0009164470830000937
1652912370.9470525,12,0.0007498023915104568
1652912494.1725914,13,0.0005831577000208199
1652912617.0047958,14,0.00041651297942735255
1652912739.2318773,15,0.0002498682588338852
