Wall time,Step,Value
1652826802.1259718,1,0.0061113061383366585
1652826823.4874084,2,0.007222612854093313
1652826847.695681,3,0.008333918638527393
1652826865.5330665,4,0.00944522488862276
1652826887.470388,5,0.009443468414247036
1652826903.4750147,6,0.008332162164151669
1652826917.9768796,7,0.007220855448395014
1652826941.3775392,8,0.006109549198299646
1652826962.9182534,9,0.004999121651053429
1652826976.870303,10,0.004443639423698187
1652826992.7670848,11,0.0038881569635123014
1652827010.6803253,12,0.0033326747361570597
1652827027.3698611,13,0.0027771922759711742
1652827045.0808446,14,0.002221709815785289
1652827061.1400924,15,0.001666227588430047
