Wall time,Step,Value
1652840343.3545547,1,0.02044176310300827
1652840574.6693735,2,0.0077277300879359245
1652840860.6565201,3,0.005822394508868456
1652841129.084064,4,0.004666969645768404
1652841402.3911076,5,0.003965537995100021
1652841656.572916,6,0.003438249696046114
1652841892.487675,7,0.0029994198121130466
1652842111.8499458,8,0.0027742169331759214
1652842335.0744402,9,0.0025884511414915323
1652842565.3984368,10,0.0023851972073316574
1652842793.6094158,11,0.00208127754740417
1652843037.328267,12,0.0017792109865695238
1652843265.9524424,13,0.0016053577419370413
1652843491.0118966,14,0.0014115100493654609
1652843709.7947125,15,0.001231821021065116
