Wall time,Step,Value
1652887698.4729311,1,0.05372908338904381
1652887817.1241808,2,0.007705743424594402
1652887916.4016433,3,0.006980523467063904
1652887999.1621003,4,0.006631381809711456
1652888244.409166,5,0.0065640551038086414
1652888361.207537,6,0.005361822433769703
1652888441.5747118,7,0.004540048073977232
1652888520.142009,8,0.004002715926617384
1652888603.3404782,9,0.0036921813152730465
1652888682.9911437,10,0.0034092594869434834
1652888878.361057,11,0.0031906093936413527
1652888955.7312655,12,0.0030344307888299227
1652889032.341669,13,0.002938722027465701
1652889111.247387,14,0.002814569743350148
1652889199.588626,15,0.0026646526530385017
