Wall time,Step,Value
1652897595.5534012,1,0.15030860900878906
1652897704.697094,2,0.008726059459149837
1652897816.2682493,3,0.007037312723696232
1652897926.7640085,4,0.0062613049522042274
1652898034.9610815,5,0.0054938653483986855
1652898193.897918,6,0.004859965294599533
1652898355.950384,7,0.00450882688164711
1652898475.8257308,8,0.003940220456570387
1652898594.2533126,9,0.003641190705820918
1652898710.3840528,10,0.003327382728457451
1652898889.1527033,11,0.0031160914804786444
1652899149.4384248,12,0.0029382738284766674
1652899258.4137928,13,0.002746613696217537
1652899395.8159785,14,0.002633838914334774
1652899700.849993,15,0.0025080565828830004
