Wall time,Step,Value
1652844508.3314476,1,0.018737707287073135
1652844627.81508,2,0.008256308734416962
1652844759.122026,3,0.007017302792519331
1652844893.3854995,4,0.006223071366548538
1652845023.1652443,5,0.005834274925291538
1652845157.343681,6,0.005452291574329138
1652845285.1952176,7,0.005175580270588398
1652845418.2246554,8,0.004981816280633211
1652845547.198787,9,0.004706576466560364
1652845669.597262,10,0.0044555142521858215
1652845810.4875224,11,0.004187805578112602
1652845938.4907827,12,0.004014705307781696
1652846068.460613,13,0.003867954481393099
1652846164.8408275,14,0.003732651937752962
1652846288.8585956,15,0.0035543697886168957
