Wall time,Step,Value
1652826802.1257849,1,0.007823877036571503
1652826823.4872942,2,0.005962366238236427
1652826847.6955082,3,0.005209325812757015
1652826865.5329342,4,0.0047466265968978405
1652826887.470264,5,0.0044222548604011536
1652826903.4748569,6,0.0041743996553123
1652826917.9767544,7,0.0039551742374897
1652826941.3774195,8,0.003774053417146206
1652826962.9181356,9,0.003619012190029025
1652826976.870182,10,0.0034453733824193478
1652826992.766956,11,0.003268292872235179
1652827010.680101,12,0.0031197010539472103
1652827027.3697422,13,0.002990641165524721
1652827045.08067,14,0.002877346007153392
1652827061.1399167,15,0.002791389124467969
