Wall time,Step,Value
1652911005.1394718,1,9.62126636505127
1652911131.723756,2,7.241981506347656
1652911258.6342492,3,7.258566856384277
1652911385.2337961,4,7.2737345695495605
1652911511.6842031,5,6.618536472320557
1652911632.9449828,6,5.6444244384765625
1652911755.6182823,7,5.084983825683594
1652911879.179305,8,4.800865173339844
1652912001.5782633,9,4.565817356109619
1652912124.627872,10,4.365371227264404
1652912247.3518956,11,4.278671741485596
1652912370.9471064,12,4.186197280883789
1652912494.172639,13,4.140140533447266
1652912617.0048482,14,4.0770182609558105
1652912739.2319603,15,4.0062456130981445
