Wall time,Step,Value
1652897595.553563,1,9.168331146240234
1652897704.6972969,2,6.40625524520874
1652897816.2684948,3,5.6502532958984375
1652897926.764231,4,5.259708404541016
1652898034.9612985,5,5.034687042236328
1652898193.8980994,6,4.668832302093506
1652898355.9505656,7,4.517050743103027
1652898475.8261967,8,4.2176008224487305
1652898594.253483,9,4.068361282348633
1652898710.3842177,10,3.93754243850708
1652898889.1529381,11,3.760399341583252
1652899149.4387536,12,3.6586532592773438
1652899258.4140036,13,3.602835178375244
1652899395.8161998,14,3.4615797996520996
1652899700.850169,15,3.3850815296173096
